name,name_original,source_table,section,label_es,type,domain_min,domain_max,domain_levels,unit,notes
veces_comio_ayer,Veces_comio_ayer,nino,d. Alimentación,"Ayer, cuántas veces comió comida que no fueran líquidos (98=No sabe)",factor,,,0;1;2;3;4;5;6;7;8,,
pacha_ayer,Pacha_ayer,nino,d. Alimentación,"Ayer, tomó algún líquido en pacha",binary,,,1;2,,
charla_lact_mat_vez,Charla_lact_mat_vez,nino,d. Alimentación,"Alguna vez la madre recibió plática o charla sobre lactancia materna (96=Informante no es la madre, 98=No Sabe)",factor,,,1;2;96;98,,
charla_lact_mat_cuando,Charla_lact_mat_cuando,nino,d. Alimentación,"(Las que recibieron una charla sobre lactancia materna) Cuando la recibió, antes o después del parto (01-Antes, 02-Antes y después, 03-después, 98-No recuerda)",factor,,,1;2;3;98,,
charla_lact_mat_medico,Charla_lact_mat_medico,nino,d. Alimentación,Quien le dieron la charla sobre lactancia materna: Médico,binary,,,No;Yes,,
charla_lact_mat_enfermera,Charla_lact_mat_enfermera,nino,d. Alimentación,Quien le dieron la charla sobre lactancia materna: Enfermero(a),binary,,,No;Yes,,
charla_lact_mat_nutricionista,Charla_lact_mat_nutricionista,nino,d. Alimentación,Quien le dieron la charla sobre lactancia materna: Nutricionista,binary,,,No;Yes,,
charla_lact_mat_vigilante,Charla_lact_mat_vigilante,nino,d. Alimentación,Quien le dieron la charla sobre lactancia materna: Vigilante de salud,binary,,,No;Yes,,
charla_lact_mat_promotor,Charla_lact_mat_promotor,nino,d. Alimentación,Quien le dieron la charla sobre lactancia materna: Promotor(a) de salud,binary,,,No;Yes,,
charla_lact_mat_comadrona,Charla_lact_mat_comadrona,nino,d. Alimentación,Quien le dieron la charla sobre lactancia materna: Comadrona,binary,,,No;Yes,,
charla_lact_mat_madrelider,Charla_lact_mat_madrelider,nino,d. Alimentación,Quien le dieron la charla sobre lactancia materna: Madre líder o consejero(a),binary,,,No;Yes,,
charla_lact_mat_video,Charla_lact_mat_video,nino,d. Alimentación,Quien le dieron la charla sobre lactancia materna: Video,binary,,,No;Yes,,
